"countrycode","incomegroup","povertyline","gdp"
"BDI","LIC",2.143249087,2.4034874
"COD","LIC",1.898853819,2.5391448
"CAF","LIC",2.164140527,2.973809
"NER","LIC",1.871222714,3.0871382
"MOZ","LIC",1.494647873,3.3344901
"MWI","LIC",1.684936508,3.9829516
"MDG","LIC",1.643309275,4.2151141
"LBR","LIC",3.134714543,4.2880473
"SLE","LIC",3.244704519,4.5331502
"TCD","LIC",2.662032448,4.5938888
"GNB","LIC",2.277011585,4.786952
"ETH","LIC",2.036781588,4.8742032
"BFA","LIC",2.162022231,5.2272582
"TGO","LIC",2.168935384,5.26156
"RWA","LIC",1.729578057,5.3439074
"GIN","LIC",3.40071993,5.4858127
"MLI","LIC",1.95249824,5.5926857
"GMB","LIC",3.868932848,5.6401596
"UGA","LIC",1.488135347,5.722322
"KIR","LMC",2.727561899,5.7615914
"TZA","LIC",1.623130406,6.9331598
"SLB","LMC",1.612953149,6.9335866
"LSO","LMC",3.217914896,7.3103876
"NPL","LIC",2.926354306,7.4066157
"SEN","LMC",2.356230567,7.5536423
"COM","LIC",4.176062322,7.6822023
"BEN","LIC",1.774617089,8.0711517
"HTI","LIC",3.670317589,8.1478605
"TJK","LMC",4.009359606,8.1766987
"SDN","LMC",3.58033006,8.3956137
"VUT","LMC",2.043225448,8.4629555
"PNG","LMC",2.162672405,8.6714888
"UZB","LIC",0.9050669799,8.8488979
"TLS","LMC",3.59414414,8.9499502
"TUV","LMC",4.155820023,8.9904165
"ZMB","LMC",1.779351968,9.434392
"FSM","LMC",3.659898234,9.5018263
"CMR","LMC",2.909364029,9.5090017
"ZWE","LIC",2.014217555,10.39902
"BGD","LMC",2.572487202,10.740122
"STP","LMC",4.554199132,10.829988
"KEN","LMC",2.414777829,11.165759
"MMR","LMC",3.963136106,11.574096
"PAK","LMC",2.988531436,11.721498
"AZE","LIC",4.878053453,11.946465
"IND","LMC",2.167800926,12.054488
"CIV","LMC",2.583912315,12.101782
"GHA","LMC",2.042462956,13.253529
"DJI","LMC",2.334455337,13.384124
"MRT","LMC",3.948635759,13.446871
"KGZ","LMC",4.076123403,13.826551
"TON","LMC",5.008327573,14.054496
"COG","LMC",2.45115369,14.075649
"NGA","LMC",2.518138173,14.123496
"NIC","LMC",5.273547729,14.912975
"HND","LMC",6.660132245,15.238341
"WSM","LMC",4.732832301,15.975605
"CPV","LMC",5.085580413,17.169538
"PSE","LMC",8.112209111,17.640913
"MAR","LMC",2.91261337,18.70746
"AGO","LMC",2.225615353,18.99589
"VNM","LMC",4.020712548,20.783407
"LAO","LMC",2.845496793,20.802273
"GTM","LMC",7.379955504,21.751711
"SWZ","LMC",3.72097828,22.797327
"BOL","LMC",10.46069109,23.078623
"SLV","LMC",5.967965868,23.161785
"PHL","LMC",3.013638808,23.331881
"IRQ","UMC",6.258799375,26.917284
"JAM","LMC",5.121833401,27.080097
"XKX","LMC",6.350940755,28.592243
"NAM","UMC",2.318059777,29.213234
"IDN","LMC",2.41274661,29.960634
"EGY","LMC",4.157091779,30.176676
"DZA","UMC",3.908124027,30.351311
"TUN","LMC",6.461420721,30.446175
"BTN","LMC",3.494527903,30.527328
"BIH","UMC",10.28052038,30.621578
"ALB","UMC",4.897559685,30.761568
"JOR","UMC",7.923623534,31.001377
"FJI","UMC",6.419757549,31.313242
"ECU","UMC",5.940432913,31.829897
"MDA","LMC",5.912056454,31.921417
"UKR","LMC",4.806232212,32.523628
"MNG","LMC",5.8689063,32.955166
"ARM","UMC",5.123629414,33.192162
"LKA","LMC",2.661270444,33.66431
"BWA","UMC",2.273638329,33.695431
"PER","UMC",5.178258356,34.264465
"PRY","UMC",7.82039542,34.494656
"CHN","UMC",3.068238554,36.709965
"GEO","LMC",3.795605389,37.232075
"ZAF","UMC",5.608950514,38.468018
"COL","UMC",5.811494931,38.825535
"LCA","UMC",6.757796586,39.71944
"GAB","UMC",7.160034922,41.114639
"MKD","UMC",6.667885768,43.031403
"BRA","UMC",7.036855439,43.301979
"SRB","UMC",7.27856806,45.509636
"DOM","UMC",6.854870422,45.850315
"THA","UMC",5.724104054,47.734119
"MDV","UMC",7.753761299,48.174213
"BLR","UMC",7.670311226,50.290688
"LBN","UMC",18.73674173,51.307522
"MNE","UMC",8.440147652,51.501099
"MEX","UMC",8.959679075,54.598347
"CRI","UMC",8.617850388,55.7453
"MUS","UMC",6.241455903,58.671547
"BGR","UMC",10.87162766,58.821751
"URY","HIC",8.294982422,63.040752
"ARG","HIC",13.30969083,64.649635
"CHL","HIC",7.148966487,67.043022
"MYS","UMC",8.002602798,67.91185
"KAZ","UMC",4.58607829,68.117714
"RUS","UMC",9.0362345,71.031349
"ROU","UMC",8.727990897,74.361427
"HRV","HIC",13.78962134,74.394753
"SYC","HIC",12.92940016,75.423279
"TUR","UMC",7.631603354,76.476212
"GRC","HIC",12.19436548,78.369484
"LVA","HIC",15.22250803,78.557709
"PAN","UMC",9.699173603,80.362679
"HUN","HIC",11.13241759,80.824989
"POL","HIC",10.02423775,82.368507
"SVK","HIC",13.18992531,85.367188
"PRT","HIC",15.40818814,90.533463
"LTU","HIC",16.55337176,92.498276
"EST","HIC",21.42080042,92.662834
"SVN","HIC",22.74051324,100.0207
"CYP","HIC",23.6159881,104.24893
"ISR","HIC",17.03177086,104.69722
"CZE","HIC",19.17344054,106.36955
"ESP","HIC",22.09634266,108.29842
"KOR","HIC",25.09441846,109.08126
"ITA","HIC",22.85422369,113.92088
"MLT","HIC",26.13413065,116.83302
"FRA","HIC",27.39215582,122.12895
"GBR","HIC",25.76764396,127.04764
"AUS","HIC",33.56455507,129.40514
"FIN","HIC",30.84648127,130.32913
"CAN","HIC",32.19562023,132.37561
"BEL","HIC",30.90585244,138.198
"DEU","HIC",29.77012582,142.13609
"SWE","HIC",30.72699594,142.32317
"AUT","HIC",31.23785488,148.41914
"NLD","HIC",31.09812698,150.92776
"DNK","HIC",32.24915036,151.66214
"ISL","HIC",31.04083208,152.43422
"USA","HIC",34.78694957,164.68399
"NOR","HIC",37.79594895,175.48152
"CHE","HIC",36.27917991,189.32484
"IRL","HIC",26.45381941,213.01152
"LUX","HIC",36.33379784,315.02972