"iso3c","country","date","male%","female%","male","female","gap"
"ALB","Albania",2011,3.47222,21.73611,0.8333328,5.2166664,4.3833336
"ARG","Argentina",2013,9.2486,23.41864,2.219664,5.6204736,3.4008096
"BEL","Belgium",2013,10.06944,15.90278,2.4166656,3.8166672,1.4000016
"BGR","Bulgaria",2010,9.23611,18.47222,2.2166664,4.4333328,2.2166664
"BLR","Belarus",2015,9.51389,19.16667,2.2833336,4.6000008,2.3166672
"BRA","Brazil",2017,5.13276,11.60814,1.2318624,2.7859536,1.5540912
"BTN","Bhutan",2015,5.90278,15,1.4166672,3.6,2.1833328
"CAN","Canada",2016,9.58333,14.58333,2.2999992,3.4999992,1.2
"CHE","Switzerland",2016,10.80417,16.83333,2.5930008,4.0399992,1.4469984
"CHL","Chile",2015,9.85396,22.10355,2.3649504,5.304852,2.9399016
"CHN","China",2018,5.90278,15.34722,1.4166672,3.6833328,2.2666656
"CMR","Cameroon",2014,4.56784,15.82086,1.0962816,3.7970064,2.7007248
"COL","Colombia",2017,2.92763,5.02051,0.7026312,1.2049224,0.5022912
"CRI","Costa Rica",2017,8.37858,22.14571,2.0108592,5.3149704,3.3041112
"CUB","Cuba",2016,12.47024,21,2.9928576,5.04,2.0471424
"DEU","Germany",2013,10.4,16.4,2.496,3.936,1.44
"DOM","Dominican Republic",2016,3.78561,16.70887,0.9085464,4.0101288,3.1015824
"DZA","Algeria",2012,3.75,21.66667,0.9,5.2000008,4.3000008
"ECU","Ecuador",2012,4.72192,19.74505,1.1332608,4.738812,3.6055512
"EGY","Egypt, Arab Rep.",2015,2.43056,22.36111,0.5833344,5.3666664,4.783332
"ESP","Spain",2010,8.61111,18.95833,2.0666664,4.5499992,2.4833328
"EST","Estonia",2010,10.76389,17.22222,2.5833336,4.1333328,1.5499992
"ETH","Ethiopia",2013,6.59722,19.30556,1.5833328,4.6333344,3.0500016
"FIN","Finland",2010,10.49167,15.20417,2.5180008,3.6490008,1.131
"FJI","Fiji",2016,5.19476,15.15812,1.2467424,3.6379488,2.3912064
"FRA","France",2010,9.49464,15.77314,2.2787136,3.7855536,1.50684
"GBR","United Kingdom",2015,6.96528,12.65278,1.6716672,3.0366672,1.365
"GRC","Greece",2014,7.01389,18.125,1.6833336,4.35,2.6666664
"GTM","Guatemala",2017,2.60537,19.48273,0.6252888,4.6758552,4.0505664
"HKG","Hong Kong SAR, China",2013,3.33333,10.83333,0.7999992,2.5999992,1.8
"HUN","Hungary",2010,7.9796,17.27674,1.915104,4.1464176,2.2313136
"ITA","Italy",2014,8.4,20.4,2.016,4.896,2.88
"JPN","Japan",2016,3.125,15.13889,0.75,3.6333336,2.8833336
"KAZ","Kazakhstan",2018,6.25,18.95833,1.5,4.5499992,3.0499992
"KGZ","Kyrgyz Republic",2015,9.51389,16.80556,2.2833336,4.0333344,1.7500008
"KOR","Korea, Rep.",2019,4.375,14.09722,1.05,3.3833328,2.3333328
"LAO","Lao PDR",2017,10.06278,13.6038,2.4150672,3.264912,0.8498448
"LBR","Liberia",2010,2.57656,6.29234,0.6183744,1.5101616,0.8917872
"LUX","Luxembourg",2014,7.08333,14.44444,1.6999992,3.4666656,1.7666664
"MAR","Morocco",2012,2.98611,20.83333,0.7166664,4.9999992,4.2833328
"MDA","Moldova",2012,11.2725,20.13841,2.7054,4.8332184,2.1278184
"MEX","Mexico",2019,11.11167,27.76825,2.6668008,6.66438,3.9975792
"MKD","North Macedonia",2015,5.41667,15.41667,1.3000008,3.7000008,2.4
"MNG","Mongolia",2019,7.59633,19.29129,1.8231192,4.6299096,2.8067904
"NLD","Netherlands",2012,9.23611,14.72222,2.2166664,3.5333328,1.3166664
"NOR","Norway",2011,12.33333,15.30833,2.9599992,3.6739992,0.714
"NZL","New Zealand",2010,10.55556,18.05556,2.5333344,4.3333344,1.8
"PAN","Panama",2011,7.57184,17.95164,1.8172416,4.3083936,2.491152
"PER","Peru",2010,8.94605,23.56031,2.147052,5.6544744,3.5074224
"POL","Poland",2013,9.92917,18.2625,2.3830008,4.383,1.9999992
"PRT","Portugal",2015,10.2414,17.81135,2.457936,4.274724,1.816788
"PRY","Paraguay",2016,4.27041,14.52502,1.0248984,3.4860048,2.4611064
"PSE","West Bank and Gaza",2013,2.98611,20.13889,0.7166664,4.8333336,4.1166672
"QAT","Qatar",2013,2.22222,8.19444,0.5333328,1.9666656,1.4333328
"ROU","Romania",2012,9.375,19.02778,2.25,4.5666672,2.3166672
"RUS","Russian Federation",2014,8.125,18.40278,1.95,4.4166672,2.4666672
"SLV","El Salvador",2017,7.02928,20.21275,1.6870272,4.85106,3.1640328
"SRB","Serbia",2015,8.69038,19.16756,2.0856912,4.6002144,2.5145232
"SWE","Sweden",2011,12.82797,16.04201,3.0787128,3.8500824,0.7713696
"THA","Thailand",2015,3.75,11.83333,0.9,2.8399992,1.9399992
"TUR","Turkiye",2015,3.70575,19.15117,0.88938,4.5962808,3.7069008
"TZA","Tanzania",2014,4.23611,16.45833,1.0166664,3.9499992,2.9333328
"UGA","Uganda",2018,7.5,14.58333,1.8,3.4999992,1.6999992
"URY","Uruguay",2013,8.37738,19.87475,2.0105712,4.76994,2.7593688
"USA","United States",2019,9.66667,15.33333,2.3200008,3.6799992,1.3599984
"ZAF","South Africa",2010,6.45833,15.55556,1.5499992,3.7333344,2.1833352
"WLD",,,7.257683182,17.1574903,1.741843964,4.117797673,2.375953709