"iso3c","year","gdp","gdp_forc20","gap_dollars","gap_relative"
"EAS",2019,100,100,0,0
"EAS",2020,101.2,105.7,-1185601265769,-4
"EAS",2021,108.79,111.6192,-745400689137,-3
"EAS",2022,112.59765,117.8698752,-1389057082342,-4
"EAS",2023,118.7905208,124.4705882,-1496510038145,-5
"EAS",2024,124.2548847,131.4409412,-1893288359754,-5
"EAS",2025,129.8463545,138.8016339,-2359420115549,-6
"ECS",2019,100,100,0,0
"ECS",2020,98.3,102.6,-960668506067,-4
"ECS",2021,105.2793,105.5754,-66152080150,0
"ECS",2022,106.5426516,108.6370866,-467920405234,-2
"ECS",2023,108.0342487,111.7875621,-838532550282,-3
"ECS",2024,110.9511734,115.0294014,-911122133926,-4
"ECS",2025,113.9468551,118.3652541,-987120163267,-4
"LCN",2019,100,100,0,0
"LCN",2020,93.8,101.8,-447516985765,-8
"LCN",2021,100.2722,104.2432,-222136243809,-4
"LCN",2022,103.9822714,106.9535232,-166210706186,-3
"LCN",2023,105.5420055,109.7343148,-234516204468,-4
"LCN",2024,107.6528456,112.587407,-276037505904,-4
"LCN",2025,110.4518196,115.5146796,-283214481057,-4
"MEA",2019,100,100,0,0
"MEA",2020,96.2,102.4,-214575207844,-6
"MEA",2021,99.8556,105.1648,-183745595724,-5
"MEA",2022,105.7470804,108.1094144,-81757791782,-2
"MEA",2023,108.0735162,111.136478,-106005753586,-3
"MEA",2024,111.6399422,114.2482994,-90272384691,-2
"MEA",2025,114.9891405,117.4472518,-85072539269,-2
"SAS",2019,100,100,0,0
"SAS",2020,95.9,105.5,-328877654400,-9
"SAS",2021,103.8597,111.7245,-269433018367,-7
"SAS",2022,110.091282,118.42797,-285598999469,-7
"SAS",2023,116.5866676,125.5336482,-306506456374,-7
"SAS",2024,122.5325877,133.0656671,-360843171682,-8
"SAS",2025,130.3746733,141.0496071,-365702832806,-8
"SSF",2019,100,100,0,0
"SSF",2020,98,102.9,-90702804365,-5
"SSF",2021,102.312,106.0899,-69931862165,-4
"SSF",2022,106.097544,109.5908667,-64664115396,-3
"SSF",2023,109.4926654,113.2073653,-68761979118,-3
"SSF",2024,113.7628794,116.9432084,-58870358947,-3
"SSF",2025,118.3133945,120.8023342,-46072206235,-2
"WLD",2019,100,100,0,0
"WLD",2020,96.9,102.5,-4741997519529,-5
"WLD",2021,102.714,105.165,-2075470700065,-2
"WLD",2022,105.898134,108.004455,-1783601599524,-2
"WLD",2023,108.1219948,110.9205753,-2369796723515,-3
"WLD",2024,110.7169227,113.9154308,-2708449573201,-3
"WLD",2025,114.0384304,116.9911474,-2500317333411,-3