"iso3c","ranking"
"DZA","Very good"
"MUS","Very good"
"PAK","Very good"
"SGP","Very good"
"LKA","Very good"
"ALB","Very good"
"UKR","Very good"
"IRN","Very good"
"IRQ","Very good"
"ISR","Very good"
"ARE","Very good"
"TCD","Good"
"CIV","Good"
"GAB","Good"
"LSO","Good"
"MRT","Good"
"MAR","Good"
"RWA","Good"
"TUN","Good"
"BGD","Good"
"BRN","Good"
"FJI","Good"
"MYS","Good"
"MDV","Good"
"NZL","Good"
"TLS","Good"
"VNM","Good"
"AZE","Good"
"BLR","Good"
"KAZ","Good"
"TJK","Good"
"RUS","Good"
"ATG","Good"
"BRB","Good"
"BHS","Good"
"BLZ","Good"
"BMU","Good"
"BOL","Good"
"CRI","Good"
"DOM","Good"
"JAM","Good"
"MEX","Good"
"PER","Good"
"TTO","Good"
"BHR","Good"
"KWT","Good"
"SAU","Good"
"AGO","Weak"
"DJI","Weak"
"KEN","Weak"
"NAM","Weak"
"SEN","Weak"
"WSM","Weak"
"BIH","Weak"
"SRB","Weak"
"MKD","Weak"
"UZB","Weak"
"SLV","Weak"
"GUY","Weak"
"HND","Weak"
"LBN","Weak"
"BEN","Very weak"
"BWA","Very weak"
"BFA","Very weak"
"BDI","Very weak"
"CMR","Very weak"
"CPV","Very weak"
"CAF","Very weak"
"COM","Very weak"
"COG","Very weak"
"COD","Very weak"
"GNQ","Very weak"
"ERI","Very weak"
"SWZ","Very weak"
"ETH","Very weak"
"GMB","Very weak"
"GHA","Very weak"
"GIN","Very weak"
"GNB","Very weak"
"LBR","Very weak"
"LBY","Very weak"
"MDG","Very weak"
"MWI","Very weak"
"MLI","Very weak"
"MOZ","Very weak"
"NER","Very weak"
"NGA","Very weak"
"STP","Very weak"
"SLE","Very weak"
"SSD","Very weak"
"SOM","Very weak"
"TZA","Very weak"
"TGO","Very weak"
"UGA","Very weak"
"ZMB","Very weak"
"ZWE","Very weak"
"AFG","Very weak"
"KHM","Very weak"
"LAO","Very weak"
"MNG","Very weak"
"MMR","Very weak"
"NRU","Very weak"
"PLW","Very weak"
"PNG","Very weak"
"ARM","Very weak"
"GEO","Very weak"
"KGZ","Very weak"
"MDA","Very weak"
"MNE","Very weak"
"TKM","Very weak"
"ABW","Very weak"
"CUB","Very weak"
"DMA","Very weak"
"GUF","Very weak"
"GRD","Very weak"
"GTM","Very weak"
"HTI","Very weak"
"NIC","Very weak"
"PAN","Very weak"
"PRY","Very weak"
"KNA","Very weak"
"LCA","Very weak"
"VCT","Very weak"
"SUR","Very weak"
"TCA","Very weak"
"JOR","Very weak"
"OMN","Very weak"
"QAT","Very weak"
"EGY","Banned"
"ZAF","Banned"
"SYC","Banned"
"SDN","Banned"
"BTN","Banned"
"IND","Banned"
"IDN","Banned"
"NPL","Banned"
"PHL","Banned"
"THA","Banned"
"TUR","Banned"
"ARG","Banned"
"BRA","Banned"
"CHL","Banned"
"COL","Banned"
"ECU","Banned"
"URY","Banned"
"VEN","Banned"